	prefix	input_text	target_text
0	translate assames to bodo	ইয়াৰ উপৰিও বহুতো ঔষধ কোম্পানীয়ে আপোনাৰ চিকিৎসক বা স্বাস্থ্যসেৱা প্ৰদানকাৰীৰ সৈতে কাম কৰি আৰ্তজনক বিনামূলীয়া ঔষধ যোগান ধৰিব।	लोगोसे, गोबां मुलि दोलोया जाय बेसेनगैयै मुलि नांनायफोरनो होनो नोंनि देहाफामगिरि एबा देहास्रि जोथोन जगायग्राजों मावगोन।
1	translate bodo to assames	लोगोसे, गोबां मुलि दोलोया जाय बेसेनगैयै मुलि नांनायफोरनो होनो नोंनि देहाफामगिरि एबा देहास्रि जोथोन जगायग्राजों मावगोन।	ইয়াৰ উপৰিও বহুতো ঔষধ কোম্পানীয়ে আপোনাৰ চিকিৎসক বা স্বাস্থ্যসেৱা প্ৰদানকাৰীৰ সৈতে কাম কৰি আৰ্তজনক বিনামূলীয়া ঔষধ যোগান ধৰিব।
2	translate assames to bodo	কৈশোৰে এটা সুস্থ প্ৰাপ্তবয়স্ক জীৱনৰ বাবে প্ৰস্তুতি চলোৱাৰ সুযোগৰ খিৰিকীক প্ৰতিনিধিত্ব কৰে।	जौमोन बैसोया दिन्थियो मोनसे सुजुगनि खिरखि मोनसे देहागोनां बैसोगोरा जिवनि थाखाय थियारि खालामनो।
3	translate bodo to assames	जौमोन बैसोया दिन्थियो मोनसे सुजुगनि खिरखि मोनसे देहागोनां बैसोगोरा जिवनि थाखाय थियारि खालामनो।	কৈশোৰে এটা সুস্থ প্ৰাপ্তবয়স্ক জীৱনৰ বাবে প্ৰস্তুতি চলোৱাৰ সুযোগৰ খিৰিকীক প্ৰতিনিধিত্ব কৰে।
4	translate assames to bodo	উপযুক্ত খাদ্য প্ৰদানৰ পদ্ধতিয়ে যত্ন লোৱা ব্যক্তিৰ সৈতে বন্ধন আৰু মানসিক-সামাজিক বিকাশক উদ্দীপিত কৰে।	आहार जाहोनो थिगयै सोलोंनाया जोथोनहोगिरि आरो सायख-ससिएल जौगानाय जों नांथाबनायखौ थुलुंगाहोयो।
5	translate bodo to assames	आहार जाहोनो थिगयै सोलोंनाया जोथोनहोगिरि आरो सायख-ससिएल जौगानाय जों नांथाबनायखौ थुलुंगाहोयो।	উপযুক্ত খাদ্য প্ৰদানৰ পদ্ধতিয়ে যত্ন লোৱা ব্যক্তিৰ সৈতে বন্ধন আৰু মানসিক-সামাজিক বিকাশক উদ্দীপিত কৰে।
6	translate assames to bodo	শিশুৰ মৃত্যুৰ হাৰৰ ব্যাখ্যাত সংক্ৰমণৰ লগতে খাদ্যাভ্যাসৰ কথাও বিবেচনা কৰাৰ গুৰুত্বৰ আৰু এটা উদাহৰণ হিচাপে গুৱেটামালাৰ চান্টা মাৰিয়া ক’কেৰ পৰা মাৰ্টৰেলৰ ৰোগৰ বয়সৰ প্ৰাদুৰ্ভাৱৰ ওপৰত পোৱা তথ্যসমূহ গুৰুত্বপূৰ্ণ।	खुदियानि थैनाय अनजिमा हारफोरनि बेखेवनाय, सानथा मारिया काउकिउनिफ्राय मारथरेल मोन्नायफोराव, सनदेरनाय आरो खाजानि गोनांथिखौ एसे बांसिन बिदिन्थि सान्ना नायनाय बायदियै, खिलुनाय लोमजानायनि बैसो-जाथाय सायाव गुयाथेमालाफोरा गोनां।
7	translate bodo to assames	खुदियानि थैनाय अनजिमा हारफोरनि बेखेवनाय, सानथा मारिया काउकिउनिफ्राय मारथरेल मोन्नायफोराव, सनदेरनाय आरो खाजानि गोनांथिखौ एसे बांसिन बिदिन्थि सान्ना नायनाय बायदियै, खिलुनाय लोमजानायनि बैसो-जाथाय सायाव गुयाथेमालाफोरा गोनां।	শিশুৰ মৃত্যুৰ হাৰৰ ব্যাখ্যাত সংক্ৰমণৰ লগতে খাদ্যাভ্যাসৰ কথাও বিবেচনা কৰাৰ গুৰুত্বৰ আৰু এটা উদাহৰণ হিচাপে গুৱেটামালাৰ চান্টা মাৰিয়া ক’কেৰ পৰা মাৰ্টৰেলৰ ৰোগৰ বয়সৰ প্ৰাদুৰ্ভাৱৰ ওপৰত পোৱা তথ্যসমূহ গুৰুত্বপূৰ্ণ।
8	translate assames to bodo	যিহেতু কিশোৰ-কিশোৰীসকলৰ মাজত সৰু ল’ৰা-ছোৱালীৰ তুলনাত নিউমোনিয়া আৰু গেষ্ট্ৰ’এণ্টেৰাইটিছৰ দৰে সংক্ৰমণৰ প্ৰাদুৰ্ভাৱ কম।	जेब्ला जौमोन बैसोहा उनदै गथ’जों रुजुनायाव जेरैहाय निउमनिया आरो गेसथ्रथेरिथिस रोखोमै सनदेरनायनि गोसारनाया खम।
9	translate bodo to assames	जेब्ला जौमोन बैसोहा उनदै गथ’जों रुजुनायाव जेरैहाय निउमनिया आरो गेसथ्रथेरिथिस रोखोमै सनदेरनायनि गोसारनाया खम।	যিহেতু কিশোৰ-কিশোৰীসকলৰ মাজত সৰু ল’ৰা-ছোৱালীৰ তুলনাত নিউমোনিয়া আৰু গেষ্ট্ৰ’এণ্টেৰাইটিছৰ দৰে সংক্ৰমণৰ প্ৰাদুৰ্ভাৱ কম।
10	translate assames to bodo	ইতিমধ্যে মৃত্যু আৰু ৰোগজনিত ৰোগৰ সম্পৰ্কত গুৰুত্ব দিয়াৰ দৰে বিভিন্ন বয়সৰ শিশুক পৃথকে পৃথকে চোৱাটো গুৰুত্বপূৰ্ণ আৰু সকলোকে একেলগে গোট খোৱাটো গুৰুত্বপূৰ্ণ নহয়।	जेब्ला सिगाङावनो दाथिनानै बुंखाबाय थैनायनि अनजिमा आरो जब्रा अबसथानि सोमोन्दोयाव, बियो गथफोरखौ गुबुन गुबुन बैसो-फारियाव आलादायै नायनो आरो बिसोरखौ गासै ज’ दोलो खालामैया गोनां।
11	translate bodo to assames	जेब्ला सिगाङावनो दाथिनानै बुंखाबाय थैनायनि अनजिमा आरो जब्रा अबसथानि सोमोन्दोयाव, बियो गथफोरखौ गुबुन गुबुन बैसो-फारियाव आलादायै नायनो आरो बिसोरखौ गासै ज’ दोलो खालामैया गोनां।	ইতিমধ্যে মৃত্যু আৰু ৰোগজনিত ৰোগৰ সম্পৰ্কত গুৰুত্ব দিয়াৰ দৰে বিভিন্ন বয়সৰ শিশুক পৃথকে পৃথকে চোৱাটো গুৰুত্বপূৰ্ণ আৰু সকলোকে একেলগে গোট খোৱাটো গুৰুত্বপূৰ্ণ নহয়।
12	translate assames to bodo	জেলিফ আৰু জেলিফে শেহতীয়াকৈ কোৱাৰ দৰে কেতিয়াবা বৈজ্ঞানিক অনুসন্ধানৰ ওপৰত বাধ্যতামূলক জোৰ দিলে স্পষ্ট কথাৰ প্ৰমাণ পোৱাত বিলম্ব হ’ব পাৰে আৰু তেনেকৈয়ে প্ৰয়োজনীয় প্ৰতিৰোধমূলক ব্যৱস্থা প্ৰৱৰ্তনত বাধাৰ সৃষ্টি কৰিব পাৰে।	जेब्ला जेल्लिफ आरो जेल्लिफा बावैसोनो फोरमायखाबाय, माब्लाबा माब्लाबा गोनोखोआरि नायबिजिरनाय सायाव ऐगारहायै नारसिन्नाया नुसारनायनि फोरमानखौ दोनथ’नो हायो आरो बिबदियै गोनां होबथाग्रा राहानि सिनायथिखौ हेंथा होयो।
13	translate bodo to assames	जेब्ला जेल्लिफ आरो जेल्लिफा बावैसोनो फोरमायखाबाय, माब्लाबा माब्लाबा गोनोखोआरि नायबिजिरनाय सायाव ऐगारहायै नारसिन्नाया नुसारनायनि फोरमानखौ दोनथ’नो हायो आरो बिबदियै गोनां होबथाग्रा राहानि सिनायथिखौ हेंथा होयो।	জেলিফ আৰু জেলিফে শেহতীয়াকৈ কোৱাৰ দৰে কেতিয়াবা বৈজ্ঞানিক অনুসন্ধানৰ ওপৰত বাধ্যতামূলক জোৰ দিলে স্পষ্ট কথাৰ প্ৰমাণ পোৱাত বিলম্ব হ’ব পাৰে আৰু তেনেকৈয়ে প্ৰয়োজনীয় প্ৰতিৰোধমূলক ব্যৱস্থা প্ৰৱৰ্তনত বাধাৰ সৃষ্টি কৰিব পাৰে।
14	translate assames to bodo	মূল্যায়নৰ মাপকাঠীসমূহ সুবিধাজনকভাৱে চাৰিটা শিৰোনামৰ অধীনত আলোচনা কৰিব পাৰি:, ৰোগ, বৃদ্ধি, আৰু শেষত, কাৰ্য্যক্ষম ক্ষমতাৰ ওপৰত ভিত্তি কৰি সূচকাংক।	हिसाब बिजिरनायनि नेमा खाबु नायनानै मोनब्रै लिरबिदां मुंनि बायदियै सावरायलायजागोन: थैनायनि अनजिमा, जब्रा अबस्था, देरनाय, आरो जोबथारनायाव नाइखां फोरि।
15	translate bodo to assames	हिसाब बिजिरनायनि नेमा खाबु नायनानै मोनब्रै लिरबिदां मुंनि बायदियै सावरायलायजागोन: थैनायनि अनजिमा, जब्रा अबस्था, देरनाय, आरो जोबथारनायाव नाइखां फोरि।	মূল্যায়নৰ মাপকাঠীসমূহ সুবিধাজনকভাৱে চাৰিটা শিৰোনামৰ অধীনত আলোচনা কৰিব পাৰি:, ৰোগ, বৃদ্ধি, আৰু শেষত, কাৰ্য্যক্ষম ক্ষমতাৰ ওপৰত ভিত্তি কৰি সূচকাংক।
16	translate assames to bodo	কোষ্টা ৰিকাত মাটা আৰু নাইজেৰিয়াৰ টমকিন্স দুয়োজনেই দেখুৱাইছে যে অপুষ্টিকৰ ব্যক্তিৰ ক্ষেত্ৰত সংক্ৰমণৰ সময়সীমা বহু বেছি হয়, যদিও সুপুষ্টিকৰ ব্যক্তিৰ তুলনাত বহু বেছি হয়, যদিও এপিচ’ডৰ সংখ্যা বহুত একে হ’ব পাৰে।	खसथा रिखायाव माथा आरो निगेरियाव थमखिन्स मोन्नैयाबो दिन्थिबायदि गाहाम नरिस्थनिफ्राय मेल नरिस्थ सुबुंनाव सनदेरजानाय समा गोबाङैनो गोलावसिन जासेयावबो जाथायफारिनि अनजिमाया जोबोरै रोखोमसे जानो हागौमोन।
